index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_next_quarter
0,3190100000,2901914000,288186000,1561659000,2557798000,73656000,9403000,324832000,214264000,13.29967,322188000,-0.54313,1.023295,191.229275,30.613586,0.074078,-3.226736,251948000,257331000,1,996096000,11.851517,35.305342,285181000,2301262000,5.496707,16.5314,520000,251951000,73358000,10193000,3074000,154000,0.07479,0.026867,17.7028,2.285276,85000,8294000,4.094733,1092000,23.923948,4616000,1435656000,21.059532,1.169568,976604000,-159000,84.945143,28894000,1.582088,59.657534,1.045945,341476000,42.896304,670823000,43.134745,199245,2.620895,38.181436,9400000,10157000,1324658000,9.931914,9.043102,0.788115,29.539506,74037000,52.452178,2.62477,1
1,2350294000,2124998000,225296000,614669000,2035028000,8256000,5916000,44666000,61771000,10.618135,86940000,1.446883,0.641895,241.205686,38.104467,0.06639,-3.65963,170512000,176693000,1,909651000,4.227084,43.125563,258592000,2000564000,5.213553,13.427,195000,170512000,6461000,5839000,-40000,113000,0.037849,0.02325,14.5069,2.129777,52000,5809000,3.251097,268000,20.856187,1157000,1448699000,22.339535,2.271035,895567000,-3000,95.118822,17767000,1.749279,53.866878,0.682728,651361000,42.909866,221355000,46.497497,138120,2.268944,44.007601,5916000,7321000,1104997000,10.611138,9.662238,1.997908,25.357232,40333000,36.791576,2.206265,1
2,1693227000,1528143000,165084000,713450000,1371414000,39039000,4637000,90079000,92722000,11.262406,160468000,0.510081,0.838626,319.07226,37.086404,0.165735,-7.180587,146729000,165462000,1,645222000,11.278007,42.917188,279002000,1326632000,5.442578,13.6082,950000,148858000,27039000,5411000,-17741000,617000,0.25856,0.198781,15.9033,3.113227,107000,3367000,5.008318,600000,22.378796,1020000,312843000,15.572186,2.147688,627957000,113000,87.85141,13648000,2.187893,52.405791,0.842007,173899000,62.609498,269069000,51.618379,171715,3.195969,45.789018,4598000,8008000,698675000,10.888419,10.458373,1.781269,28.20002,28876000,28.086564,3.155763,1
3,1776718000,1604148000,172570000,587369000,1519185000,38241000,4711000,84696000,31052000,10.965536,84786000,0.200828,0.957867,191.463727,45.003203,0.046842,-4.135134,151121000,165154000,1,814518000,5.436641,51.296757,202581000,1448716000,6.2987,13.8914,274000,151121000,26157000,7802000,1287000,106000,0.069797,0.028798,16.0534,2.512842,69000,4040000,3.452648,256000,26.298498,176000,447470000,17.454375,-1.083825,799580000,30000,94.42851,17130000,1.983619,47.745956,0.97586,260942000,55.647094,256235000,55.310055,225474,2.616119,52.632168,4710000,7076000,649136000,10.839388,10.392983,-1.274734,23.093874,41733000,44.617127,2.612259,1
4,1358614523,1281679239,76935284.23,717371566.1,1055942983,106328038.6,3007732.902,279840446,131995925.4,15.562809,333912076.2,-3.833671,0.405716,234.832215,43.58782,0.053572,-4.251177,52607242.76,66686200.34,0.814001,597886832.8,27.963911,47.419427,72933656.37,1318797674,3.624959,15.4,1132275.092,56888072.89,97155063.74,2425722.34,-673992.6503,784696.7571,0.352846,0.378285,18,1.749793,65934.06361,1589743.534,3.177226,0,21.691094,-78958.07618,609040271.6,20.772071,0.379438,592190455.3,-227106.2191,69.372022,8185591.897,1.371065,48.562902,0.405716,175746839.6,27.261485,4654456.491,72.177265,89449,1.677129,56.08167,2954822.851,4743182.576,726607219,6.045965,6.337946,0.247854,14.540636,58803416.73,39.714847,1.695243,2
5,1314868493,1239311312,75557180.9,758417555.7,981706925.2,91413102.2,3268213.153,302376057.7,213985340.5,17.545105,397498561.5,-3.34111,0.398083,189.629096,42.860221,0.029831,-2.681476,57769635.74,71335772.83,0.814001,567842063.9,36.168486,48.295226,51382985.57,1154678836,3.885858,14.1,1663817.605,63605207.37,84075699.12,2260480.181,0,1133089.093,0.556426,0.671267,15.8,1.9328,51282.04948,1295075.249,3.038195,262108.2529,22.580023,611314.5898,66379322.04,16.706413,0.145953,563555535.7,66748.0644,61.474953,9394383.064,1.181573,46.013659,0.398083,53964182.06,34.39618,93045987.77,84.047369,83709,1.636256,57.40568,3205535.093,4310948.159,591123300.3,6.133018,6.304401,0.096998,14.709213,172474556.4,57.588467,1.624017,2
6,915952755.7,858629192.4,57323563.31,405110282.9,573229121.1,112343504.4,1999999.93,142578749.6,36018720.75,13.885376,202103371,-3.333362,0.811449,131.274433,55.433202,0.181617,-2.272017,40453397.03,51840454.02,0.814001,513208773.1,25.911636,62.902975,50582822.8,872060205.4,3.9607,13.6,1636955.579,44893771.31,107102153.3,4164428.018,-567358.5474,1317867.271,0.791674,1.082739,15.7,2.272108,35816.03456,1251933.208,3.636795,33374.0322,23.194748,709808.6848,166185586.3,17.399877,0.863,507741943.9,111518.1076,61.985504,5801383.597,1.459312,36.65432,0.811449,17846967.22,35.967804,6463166.236,106.151274,89847,1.857508,88.575741,1863247.798,4649572.486,364318261.5,6.717176,6.830583,0.712923,12.322188,117918595.8,45.218418,1.891765,3
7,773169692,727981252.4,45188439.6,301948707.3,536205109.3,90072442.9,1060643.023,87327632.25,75772077.11,9.335316,229572641.5,-2.401535,0.652757,100.933333,48.067199,-0.010146,-0.050438,33711842.53,43535204,0.814001,374105806.9,35.169256,55.140417,49794056.04,663172951.8,4.158851,14.8,1177045.136,38404557.05,84258035.29,2442002.356,-266178.2568,665038.6416,0.682388,0.669155,16.7,2.339889,40700.03927,1798127.735,3.323436,0,31.058201,179894.1736,202568979.4,17.358866,-1.546792,371641012.6,90354.08717,60.772993,5078550.9,1.4373,44.085577,0.652757,38049652.71,33.669074,80254779.43,94.303296,42964,1.993072,69.309487,1005290.97,3133089.023,291531939.3,6.257341,6.596592,-1.570498,13.723686,62585264.38,45.150024,2.054063,2
8,672274222,654111190.3,18163031.65,234417027.1,369628108.7,58853864.6,0,131883236.7,133097508.6,0,191951373.2,-3.259767,0,0,31.184144,0,0,0,0,1.188399,209642958.6,44.798004,50.621107,0,428628348.4,0,0,0,0,44513289.63,0,958005.5281,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.84728,209642958.6,0,55.201996,0,0,42.247813,0,0,0,102533790.4,88.632489,0,0,56.717266,0,0,218985389.8,2.838991,4.834873,-15.84728,15.504268,0,0,0,1
9,637263306.8,602521753.3,34741553.52,189317860.7,465335759,71422056.91,1343915.297,67870571.48,58234430.18,15.610632,189704511,-0.003832,0.536157,137.103685,55.19634,0.060713,-2.029053,25978835.06,34046396.85,0.814001,354350821.9,34.127762,60.746553,40235244.82,575152604.9,3.164326,13.9,672364.6487,29107854.08,66820510.47,1899877.833,153032.1476,542124.523,0.460198,0.621627,16.2,2.045266,25234.02435,843304.8136,2.730004,64306.06204,22.994403,226292.2183,175566945.4,16.542828,2.647426,351746019.4,17908.01728,62.434743,3975579.836,1.403512,33.90375,0.536157,26738297.8,32.954943,21916157.14,102.102708,44066,1.850782,75.589725,1299145.253,2388278.304,223406585.5,5.8104,6.173759,2.558787,11.185087,75951157.28,44.121237,1.838147,2
